"id","round_number","participant_id","article","main_article_stable_id","main_article_title","main_topic","rec0_stable_id","rec0_title","rec0_likelihood","rec0_preference_fit","rec0_constructive","rec0_understandable","rec0_trustworthy","rec0_relevant","rec1_stable_id","rec1_title","rec1_likelihood","rec1_preference_fit","rec1_constructive","rec1_understandable","rec1_trustworthy","rec1_relevant","rec0_topic","rec1_topic","rec0_label_text","rec1_label_text","label_understandable","label_useful","label_influenced","label_attention","label_more","rb_attention_check","selected_rec_stable_id","selected_rec_title","selected_rec_pos","changing_label_rec_pos","low_preference_fit","low_constructive","low_understandable","low_trustworthy","low_relevant","high_preference_fit","high_constructive","high_understandable","high_trustworthy","high_relevant"
403,1,212,"{""main_article_id"": 18, ""main_article_stable_id"": ""143388"", ""main_article_title"": ""Mamdani and Tisch Agreed to Work Together. Here's Where They Differ."", ""selected_recommendation_id"": 24, ""selected_recommendation_stable_id"": ""144200"", ""selected_recommendation_title"": ""Saudi Arabia wants to buy American chips. It could help propel the US in the AI race"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 1, ""recommendations"": [51, 24], ""recommendations_labels"": {""24"": ""Fact-checked for accuracy"", ""51"": """"}, ""recommendations_stable_ids"": [""136187"", ""144200""], ""recommendations_titles"": [""Alaska sued over aerial hunting of bears to protect caribou"", ""Saudi Arabia wants to buy American chips. It could help propel the US in the AI race""], ""ratings"": {""likelihood_51"": ""1"", ""preference_fit_51"": ""1"", ""constructive_51"": ""1"", ""understandable_51"": ""2"", ""trustworthy_51"": ""4"", ""relevant_51"": ""1"", ""likelihood_24"": ""4"", ""preference_fit_24"": ""4"", ""constructive_24"": ""1"", ""understandable_24"": ""5"", ""trustworthy_24"": ""4"", ""relevant_24"": ""4"", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""1"", ""label_attention"": ""4"", ""label_more"": ""4"", ""rb_attention_check"": """", ""low_preference_fit"": ""4"", ""high_preference_fit"": ""1"", ""low_constructive"": ""1"", ""high_constructive"": ""1"", ""low_understandable"": ""5"", ""high_understandable"": ""2"", ""low_trustworthy"": ""4"", ""high_trustworthy"": ""4"", ""low_relevant"": ""4"", ""high_relevant"": ""1""}}",143388,"Mamdani and Tisch Agreed to Work Together. Here's Where They Differ.","Politics",136187,"Alaska sued over aerial hunting of bears to protect caribou",1,1,1,2,4,1,144200,"Saudi Arabia wants to buy American chips. It could help propel the US in the AI race",4,4,1,5,4,4,"Politics","International","","Fact-checked for accuracy",4,4,1,4,4,NA,144200,"Saudi Arabia wants to buy American chips. It could help propel the US in the AI race",1,1,4,1,5,4,4,1,1,2,4,1
404,1,213,"{""main_article_id"": 55, ""main_article_stable_id"": ""128859"", ""main_article_title"": ""Sports card shops are evolving \u2014 thanks in part to a Greek import"", ""selected_recommendation_id"": 54, ""selected_recommendation_stable_id"": ""128849"", ""selected_recommendation_title"": ""How the Ross Park Mall is thriving in a landscape of dying malls"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [54, 50], ""recommendations_labels"": {""50"": ""Fact-checked for accuracy"", ""54"": """"}, ""recommendations_stable_ids"": [""128849"", ""130049""], ""recommendations_titles"": [""How the Ross Park Mall is thriving in a landscape of dying malls"", ""Real Madrid's Ferland Mendy: 629 days out, winner of finals and an uncertain future""], ""ratings"": {""likelihood_54"": ""4"", ""preference_fit_54"": ""4"", ""constructive_54"": ""3"", ""understandable_54"": ""5"", ""trustworthy_54"": ""4"", ""relevant_54"": ""3"", ""likelihood_50"": ""1"", ""preference_fit_50"": ""1"", ""constructive_50"": ""2"", ""understandable_50"": ""3"", ""trustworthy_50"": ""4"", ""relevant_50"": ""2"", ""label_understandable"": ""2"", ""label_useful"": ""2"", ""label_influenced"": ""4"", ""label_attention"": ""2"", ""label_more"": ""1"", ""rb_attention_check"": """", ""low_preference_fit"": ""1"", ""high_preference_fit"": ""4"", ""low_constructive"": ""2"", ""high_constructive"": ""3"", ""low_understandable"": ""3"", ""high_understandable"": ""5"", ""low_trustworthy"": ""4"", ""high_trustworthy"": ""4"", ""low_relevant"": ""2"", ""high_relevant"": ""3""}}",128859,"Sports card shops are evolving — thanks in part to a Greek import","Lifestyle",128849,"How the Ross Park Mall is thriving in a landscape of dying malls",4,4,3,5,4,3,130049,"Real Madrid's Ferland Mendy: 629 days out, winner of finals and an uncertain future",1,1,2,3,4,2,"Lifestyle","Sports","","Fact-checked for accuracy",2,2,4,2,1,NA,128849,"How the Ross Park Mall is thriving in a landscape of dying malls",0,1,1,2,3,4,2,4,3,5,4,3
405,2,212,"{""main_article_id"": 17, ""main_article_stable_id"": ""142917"", ""main_article_title"": ""Born with cerebral palsy, a Haverford woman shares her story of resilience in new book"", ""selected_recommendation_id"": 45, ""selected_recommendation_stable_id"": ""148260"", ""selected_recommendation_title"": ""Choreographer for Neil Diamond-inspired musical \""A Beautiful Noise\"" helping Parkinson's patients get moving"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [45, 47], ""recommendations_labels"": {""45"": """", ""47"": ""Breaks topic into key points without unnecessary details""}, ""recommendations_stable_ids"": [""148260"", ""129659""], ""recommendations_titles"": [""Choreographer for Neil Diamond-inspired musical \""A Beautiful Noise\"" helping Parkinson's patients get moving"", ""\u2018Like Houdini': Another Caleb Williams magic trick rescues Bears in thrilling win""], ""ratings"": {""likelihood_45"": ""2"", ""preference_fit_45"": ""1"", ""constructive_45"": ""1"", ""understandable_45"": ""4"", ""trustworthy_45"": ""4"", ""relevant_45"": ""2"", ""likelihood_47"": ""1"", ""preference_fit_47"": ""1"", ""constructive_47"": ""4"", ""understandable_47"": ""1"", ""trustworthy_47"": ""4"", ""relevant_47"": ""1"", ""label_understandable"": ""2"", ""label_useful"": ""1"", ""label_influenced"": ""1"", ""label_attention"": ""4"", ""label_more"": ""4"", ""rb_attention_check"": ""1"", ""low_preference_fit"": ""1"", ""high_preference_fit"": ""1"", ""low_constructive"": ""4"", ""high_constructive"": ""1"", ""low_understandable"": ""1"", ""high_understandable"": ""4"", ""low_trustworthy"": ""4"", ""high_trustworthy"": ""4"", ""low_relevant"": ""1"", ""high_relevant"": ""2""}}",142917,"Born with cerebral palsy, a Haverford woman shares her story of resilience in new book","Entertainment",148260,"Choreographer for Neil Diamond-inspired musical ""A Beautiful Noise"" helping Parkinson's patients get moving",2,1,1,4,4,2,129659,"‘Like Houdini': Another Caleb Williams magic trick rescues Bears in thrilling win",1,1,4,1,4,1,"Entertainment","Sports","","Breaks topic into key points without unnecessary details",2,1,1,4,4,1,148260,"Choreographer for Neil Diamond-inspired musical ""A Beautiful Noise"" helping Parkinson's patients get moving",0,1,1,4,1,4,1,1,1,4,4,2
406,1,215,"{""main_article_id"": 53, ""main_article_stable_id"": ""130586"", ""main_article_title"": ""Glass Skin and Snail Mucin: South Korea's Journey to Global Beauty Power"", ""selected_recommendation_id"": 46, ""selected_recommendation_stable_id"": ""148298"", ""selected_recommendation_title"": ""Making a Yard \u2018Very Wild,' Yet Still Fit for Entertaining"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [44, 46], ""recommendations_labels"": {""44"": ""Fact-checked for accuracy"", ""46"": """"}, ""recommendations_stable_ids"": [""148119"", ""148298""], ""recommendations_titles"": [""What saved a heartbroken 14-year NFL veteran? It's magic"", ""Making a Yard \u2018Very Wild,' Yet Still Fit for Entertaining""], ""ratings"": {""likelihood_44"": ""2"", ""preference_fit_44"": ""3"", ""constructive_44"": ""3"", ""understandable_44"": ""4"", ""trustworthy_44"": ""3"", ""relevant_44"": ""3"", ""likelihood_46"": ""4"", ""preference_fit_46"": ""4"", ""constructive_46"": ""4"", ""understandable_46"": ""4"", ""trustworthy_46"": ""4"", ""relevant_46"": ""4"", ""label_understandable"": ""3"", ""label_useful"": ""2"", ""label_influenced"": ""4"", ""label_attention"": ""3"", ""label_more"": ""2"", ""rb_attention_check"": """", ""low_preference_fit"": ""3"", ""high_preference_fit"": ""4"", ""low_constructive"": ""3"", ""high_constructive"": ""4"", ""low_understandable"": ""4"", ""high_understandable"": ""4"", ""low_trustworthy"": ""3"", ""high_trustworthy"": ""4"", ""low_relevant"": ""3"", ""high_relevant"": ""4""}}",130586,"Glass Skin and Snail Mucin: South Korea's Journey to Global Beauty Power","Lifestyle",148119,"What saved a heartbroken 14-year NFL veteran? It's magic",2,3,3,4,3,3,148298,"Making a Yard ‘Very Wild,' Yet Still Fit for Entertaining",4,4,4,4,4,4,"Entertainment","Lifestyle","Fact-checked for accuracy","",3,2,4,3,2,NA,148298,"Making a Yard ‘Very Wild,' Yet Still Fit for Entertaining",1,0,3,3,4,3,3,4,4,4,4,4
407,2,213,"{""main_article_id"": 19, ""main_article_stable_id"": ""143626"", ""main_article_title"": ""New initiative aimed at preventing youth crime"", ""selected_recommendation_id"": 21, ""selected_recommendation_stable_id"": ""143889"", ""selected_recommendation_title"": ""Pennsylvania Attorney General's Office launches Elder Exploitation Section, expanding services for seniors"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [18, 21], ""recommendations_labels"": {""18"": ""Focuses on solutions and constructive ways forward"", ""21"": """"}, ""recommendations_stable_ids"": [""143388"", ""143889""], ""recommendations_titles"": [""Mamdani and Tisch Agreed to Work Together. Here's Where They Differ."", ""Pennsylvania Attorney General's Office launches Elder Exploitation Section, expanding services for seniors""], ""ratings"": {""likelihood_18"": ""2"", ""preference_fit_18"": ""2"", ""constructive_18"": ""3"", ""understandable_18"": ""2"", ""trustworthy_18"": ""4"", ""relevant_18"": ""2"", ""likelihood_21"": ""4"", ""preference_fit_21"": ""3"", ""constructive_21"": ""4"", ""understandable_21"": ""4"", ""trustworthy_21"": ""4"", ""relevant_21"": ""3"", ""label_understandable"": ""2"", ""label_useful"": ""2"", ""label_influenced"": ""4"", ""label_attention"": ""1"", ""label_more"": ""3"", ""rb_attention_check"": ""1"", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""3"", ""low_constructive"": ""3"", ""high_constructive"": ""4"", ""low_understandable"": ""2"", ""high_understandable"": ""4"", ""low_trustworthy"": ""4"", ""high_trustworthy"": ""4"", ""low_relevant"": ""2"", ""high_relevant"": ""3""}}",143626,"New initiative aimed at preventing youth crime","Crime",143388,"Mamdani and Tisch Agreed to Work Together. Here's Where They Differ.",2,2,3,2,4,2,143889,"Pennsylvania Attorney General's Office launches Elder Exploitation Section, expanding services for seniors",4,3,4,4,4,3,"Politics","Crime","Focuses on solutions and constructive ways forward","",2,2,4,1,3,1,143889,"Pennsylvania Attorney General's Office launches Elder Exploitation Section, expanding services for seniors",1,0,2,3,2,4,2,3,4,4,4,3
408,2,215,"{""main_article_id"": 58, ""main_article_stable_id"": ""131266"", ""main_article_title"": ""EU agrees to relax green rules in farming subsidy reform"", ""selected_recommendation_id"": 67, ""selected_recommendation_stable_id"": ""139775"", ""selected_recommendation_title"": ""EU options to finance Ukraine in 2026\u20132027"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [67, 37], ""recommendations_labels"": {""37"": """", ""67"": """"}, ""recommendations_stable_ids"": [""139775"", ""146239""], ""recommendations_titles"": [""EU options to finance Ukraine in 2026\u20132027"", ""Screenings Could Save Four Times as Many People From Lung Cancer""], ""ratings"": {""likelihood_67"": ""4"", ""preference_fit_67"": ""4"", ""constructive_67"": ""4"", ""understandable_67"": ""4"", ""trustworthy_67"": ""4"", ""relevant_67"": ""4"", ""likelihood_37"": ""2"", ""preference_fit_37"": ""2"", ""constructive_37"": ""3"", ""understandable_37"": ""4"", ""trustworthy_37"": ""3"", ""relevant_37"": ""3"", ""label_understandable"": """", ""label_useful"": """", ""label_influenced"": """", ""label_attention"": """", ""label_more"": """", ""rb_attention_check"": ""1"", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""4"", ""low_constructive"": ""3"", ""high_constructive"": ""4"", ""low_understandable"": ""4"", ""high_understandable"": ""4"", ""low_trustworthy"": ""3"", ""high_trustworthy"": ""4"", ""low_relevant"": ""3"", ""high_relevant"": ""4""}}",131266,"EU agrees to relax green rules in farming subsidy reform","International",139775,"EU options to finance Ukraine in 2026–2027",4,4,4,4,4,4,146239,"Screenings Could Save Four Times as Many People From Lung Cancer",2,2,3,4,3,3,"International","Public Health","","",NA,NA,NA,NA,NA,1,139775,"EU options to finance Ukraine in 2026–2027",0,1,2,3,4,3,3,4,4,4,4,4
409,1,216,"{""main_article_id"": 54, ""main_article_stable_id"": ""128849"", ""main_article_title"": ""How the Ross Park Mall is thriving in a landscape of dying malls"", ""selected_recommendation_id"": 50, ""selected_recommendation_stable_id"": ""130049"", ""selected_recommendation_title"": ""Real Madrid's Ferland Mendy: 629 days out, winner of finals and an uncertain future"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 1, ""recommendations"": [5, 50], ""recommendations_labels"": {""5"": """", ""50"": ""Recommended by 82% of readers your age in your region""}, ""recommendations_stable_ids"": [""141298"", ""130049""], ""recommendations_titles"": [""Atlanta families step up to save dogs during overcrowding crisis at local shelters"", ""Real Madrid's Ferland Mendy: 629 days out, winner of finals and an uncertain future""], ""ratings"": {""likelihood_5"": ""3"", ""preference_fit_5"": ""1"", ""constructive_5"": ""3"", ""understandable_5"": ""4"", ""trustworthy_5"": ""3"", ""relevant_5"": ""1"", ""likelihood_50"": ""3"", ""preference_fit_50"": ""2"", ""constructive_50"": ""3"", ""understandable_50"": ""4"", ""trustworthy_50"": ""4"", ""relevant_50"": ""3"", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""3"", ""label_attention"": ""3"", ""label_more"": ""3"", ""rb_attention_check"": """", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""1"", ""low_constructive"": ""3"", ""high_constructive"": ""3"", ""low_understandable"": ""4"", ""high_understandable"": ""4"", ""low_trustworthy"": ""4"", ""high_trustworthy"": ""3"", ""low_relevant"": ""3"", ""high_relevant"": ""1""}}",128849,"How the Ross Park Mall is thriving in a landscape of dying malls","Lifestyle",141298,"Atlanta families step up to save dogs during overcrowding crisis at local shelters",3,1,3,4,3,1,130049,"Real Madrid's Ferland Mendy: 629 days out, winner of finals and an uncertain future",3,2,3,4,4,3,"Lifestyle","Sports","","Recommended by 82% of readers your age in your region",4,4,3,3,3,NA,130049,"Real Madrid's Ferland Mendy: 629 days out, winner of finals and an uncertain future",1,1,2,3,4,4,3,1,3,4,3,1
410,2,216,"{""main_article_id"": 1, ""main_article_stable_id"": ""139610"", ""main_article_title"": ""Poor Countries Got $1 Trillion From China. So Did Rich Ones."", ""selected_recommendation_id"": 57, ""selected_recommendation_stable_id"": ""131903"", ""selected_recommendation_title"": ""The US air traffic control system is in desperate need of improvement. Would privatization help?"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [49, 57], ""recommendations_labels"": {""49"": ""Breaks topic into key points without unnecessary details"", ""57"": """"}, ""recommendations_stable_ids"": [""131667"", ""131903""], ""recommendations_titles"": [""Analysis: Many factors, not just Trump, contributed to BBC resignations"", ""The US air traffic control system is in desperate need of improvement. Would privatization help?""], ""ratings"": {""likelihood_49"": ""3"", ""preference_fit_49"": ""2"", ""constructive_49"": ""3"", ""understandable_49"": ""3"", ""trustworthy_49"": ""3"", ""relevant_49"": ""3"", ""likelihood_57"": ""5"", ""preference_fit_57"": ""4"", ""constructive_57"": ""3"", ""understandable_57"": ""4"", ""trustworthy_57"": ""4"", ""relevant_57"": ""3"", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""3"", ""label_attention"": ""4"", ""label_more"": ""3"", ""rb_attention_check"": ""1"", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""4"", ""low_constructive"": ""3"", ""high_constructive"": ""3"", ""low_understandable"": ""3"", ""high_understandable"": ""4"", ""low_trustworthy"": ""3"", ""high_trustworthy"": ""4"", ""low_relevant"": ""3"", ""high_relevant"": ""3""}}",139610,"Poor Countries Got $1 Trillion From China. So Did Rich Ones.","Economics",131667,"Analysis: Many factors, not just Trump, contributed to BBC resignations",3,2,3,3,3,3,131903,"The US air traffic control system is in desperate need of improvement. Would privatization help?",5,4,3,4,4,3,"Politics","Economics","Breaks topic into key points without unnecessary details","",4,4,3,4,3,1,131903,"The US air traffic control system is in desperate need of improvement. Would privatization help?",1,0,2,3,3,3,3,4,3,4,4,3
411,1,214,"{""main_article_id"": 16, ""main_article_stable_id"": ""142537"", ""main_article_title"": ""The Ashes 2025-26: Insight, analysis and a new signing for The Athletic"", ""selected_recommendation_id"": 29, ""selected_recommendation_stable_id"": ""144778"", ""selected_recommendation_title"": ""Meta's Victory Opens the Way for Silicon Valley to Go Deal Shopping"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 1, ""recommendations"": [48, 29], ""recommendations_labels"": {""29"": ""Fact-checked for accuracy"", ""48"": """"}, ""recommendations_stable_ids"": [""129977"", ""144778""], ""recommendations_titles"": [""New-look Dan Campbell gives Lions' offense jump-start in perhaps a season-defining move"", ""Meta's Victory Opens the Way for Silicon Valley to Go Deal Shopping""], ""ratings"": {""likelihood_48"": ""4"", ""preference_fit_48"": ""4"", ""constructive_48"": ""4"", ""understandable_48"": ""3"", ""trustworthy_48"": ""5"", ""relevant_48"": ""4"", ""likelihood_29"": ""4"", ""preference_fit_29"": ""4"", ""constructive_29"": ""4"", ""understandable_29"": ""4"", ""trustworthy_29"": ""5"", ""relevant_29"": ""5"", ""label_understandable"": ""4"", ""label_useful"": ""5"", ""label_influenced"": ""4"", ""label_attention"": ""4"", ""label_more"": ""4"", ""rb_attention_check"": """", ""low_preference_fit"": ""4"", ""high_preference_fit"": ""4"", ""low_constructive"": ""4"", ""high_constructive"": ""4"", ""low_understandable"": ""4"", ""high_understandable"": ""3"", ""low_trustworthy"": ""5"", ""high_trustworthy"": ""5"", ""low_relevant"": ""5"", ""high_relevant"": ""4""}}",142537,"The Ashes 2025-26: Insight, analysis and a new signing for The Athletic","Sports",129977,"New-look Dan Campbell gives Lions' offense jump-start in perhaps a season-defining move",4,4,4,3,5,4,144778,"Meta's Victory Opens the Way for Silicon Valley to Go Deal Shopping",4,4,4,4,5,5,"Sports","Tech","","Fact-checked for accuracy",4,5,4,4,4,NA,144778,"Meta's Victory Opens the Way for Silicon Valley to Go Deal Shopping",1,1,4,4,4,5,5,4,4,3,5,4
412,2,214,"{""main_article_id"": 64, ""main_article_stable_id"": ""139293"", ""main_article_title"": ""Top U.N. Official Pushing to Get Aid Into Stricken Sudanese City"", ""selected_recommendation_id"": 51, ""selected_recommendation_stable_id"": ""136187"", ""selected_recommendation_title"": ""Alaska sued over aerial hunting of bears to protect caribou"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [51, 68], ""recommendations_labels"": {""51"": """", ""68"": ""Trending right now""}, ""recommendations_stable_ids"": [""136187"", ""140006""], ""recommendations_titles"": [""Alaska sued over aerial hunting of bears to protect caribou"", ""There's a New Effort on the Runway to Raise Climate Funds""], ""ratings"": {""likelihood_51"": ""4"", ""preference_fit_51"": ""4"", ""constructive_51"": ""5"", ""understandable_51"": ""5"", ""trustworthy_51"": ""4"", ""relevant_51"": ""5"", ""likelihood_68"": ""4"", ""preference_fit_68"": ""5"", ""constructive_68"": ""5"", ""understandable_68"": ""4"", ""trustworthy_68"": ""5"", ""relevant_68"": ""4"", ""label_understandable"": ""4"", ""label_useful"": ""5"", ""label_influenced"": ""4"", ""label_attention"": ""5"", ""label_more"": ""4"", ""rb_attention_check"": ""1"", ""low_preference_fit"": ""5"", ""high_preference_fit"": ""4"", ""low_constructive"": ""5"", ""high_constructive"": ""5"", ""low_understandable"": ""4"", ""high_understandable"": ""5"", ""low_trustworthy"": ""5"", ""high_trustworthy"": ""4"", ""low_relevant"": ""4"", ""high_relevant"": ""5""}}",139293,"Top U.N. Official Pushing to Get Aid Into Stricken Sudanese City","Politics",136187,"Alaska sued over aerial hunting of bears to protect caribou",4,4,5,5,4,5,140006,"There's a New Effort on the Runway to Raise Climate Funds",4,5,5,4,5,4,"Politics","Economics","","Trending right now",4,5,4,5,4,1,136187,"Alaska sued over aerial hunting of bears to protect caribou",0,1,5,5,4,5,4,4,5,5,4,5
413,1,217,"{""main_article_id"": 68, ""main_article_stable_id"": ""140006"", ""main_article_title"": ""There's a New Effort on the Runway to Raise Climate Funds"", ""selected_recommendation_id"": 69, ""selected_recommendation_stable_id"": ""144440"", ""selected_recommendation_title"": ""ECB set to hold rates through 2026 on steady economic outlook: Reuters poll"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [69, 22], ""recommendations_labels"": {""22"": ""Recommended by 82% of readers your age in your region"", ""69"": """"}, ""recommendations_stable_ids"": [""144440"", ""143983""], ""recommendations_titles"": [""ECB set to hold rates through 2026 on steady economic outlook: Reuters poll"", ""How Philadelphia is combating human trafficking with new $500K awareness initiative""], ""ratings"": {""likelihood_69"": ""4"", ""preference_fit_69"": ""4"", ""constructive_69"": ""5"", ""understandable_69"": ""4"", ""trustworthy_69"": ""4"", ""relevant_69"": ""5"", ""likelihood_22"": ""3"", ""preference_fit_22"": ""3"", ""constructive_22"": ""4"", ""understandable_22"": ""4"", ""trustworthy_22"": ""4"", ""relevant_22"": ""3"", ""label_understandable"": ""4"", ""label_useful"": ""5"", ""label_influenced"": ""4"", ""label_attention"": ""4"", ""label_more"": ""5"", ""rb_attention_check"": """", ""low_preference_fit"": ""3"", ""high_preference_fit"": ""4"", ""low_constructive"": ""4"", ""high_constructive"": ""5"", ""low_understandable"": ""4"", ""high_understandable"": ""4"", ""low_trustworthy"": ""4"", ""high_trustworthy"": ""4"", ""low_relevant"": ""3"", ""high_relevant"": ""5""}}",140006,"There's a New Effort on the Runway to Raise Climate Funds","Economics",144440,"ECB set to hold rates through 2026 on steady economic outlook: Reuters poll",4,4,5,4,4,5,143983,"How Philadelphia is combating human trafficking with new $500K awareness initiative",3,3,4,4,4,3,"Economics","Crime","","Recommended by 82% of readers your age in your region",4,5,4,4,5,NA,144440,"ECB set to hold rates through 2026 on steady economic outlook: Reuters poll",0,1,3,4,4,4,3,4,5,4,4,5
414,1,218,"{""main_article_id"": 35, ""main_article_stable_id"": ""146308"", ""main_article_title"": ""These Rocketry Hobbyists Are Not Just Playing Around"", ""selected_recommendation_id"": 43, ""selected_recommendation_stable_id"": ""148070"", ""selected_recommendation_title"": ""George Clooney, Adam Sandler and Noah Baumbach on Fame and \u2018Jay Kelly'"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 1, ""recommendations"": [11, 43], ""recommendations_labels"": {""11"": """", ""43"": ""Recommended by 82% of readers your age in your region""}, ""recommendations_stable_ids"": [""141442"", ""148070""], ""recommendations_titles"": [""SpaceX launches second international satellite to monitor sea level changes"", ""George Clooney, Adam Sandler and Noah Baumbach on Fame and \u2018Jay Kelly'""], ""ratings"": {""likelihood_11"": ""1"", ""preference_fit_11"": ""1"", ""constructive_11"": ""1"", ""understandable_11"": ""3"", ""trustworthy_11"": ""3"", ""relevant_11"": ""3"", ""likelihood_43"": ""1"", ""preference_fit_43"": ""1"", ""constructive_43"": ""1"", ""understandable_43"": ""5"", ""trustworthy_43"": ""3"", ""relevant_43"": ""1"", ""label_understandable"": ""3"", ""label_useful"": ""2"", ""label_influenced"": ""1"", ""label_attention"": ""2"", ""label_more"": ""3"", ""rb_attention_check"": """", ""low_preference_fit"": ""1"", ""high_preference_fit"": ""1"", ""low_constructive"": ""1"", ""high_constructive"": ""1"", ""low_understandable"": ""5"", ""high_understandable"": ""3"", ""low_trustworthy"": ""3"", ""high_trustworthy"": ""3"", ""low_relevant"": ""1"", ""high_relevant"": ""3""}}",146308,"These Rocketry Hobbyists Are Not Just Playing Around","Science",141442,"SpaceX launches second international satellite to monitor sea level changes",1,1,1,3,3,3,148070,"George Clooney, Adam Sandler and Noah Baumbach on Fame and ‘Jay Kelly'",1,1,1,5,3,1,"Science","Entertainment","","Recommended by 82% of readers your age in your region",3,2,1,2,3,NA,148070,"George Clooney, Adam Sandler and Noah Baumbach on Fame and ‘Jay Kelly'",1,1,1,1,5,3,1,1,1,3,3,3
415,2,217,"{""main_article_id"": 16, ""main_article_stable_id"": ""142537"", ""main_article_title"": ""The Ashes 2025-26: Insight, analysis and a new signing for The Athletic"", ""selected_recommendation_id"": 50, ""selected_recommendation_stable_id"": ""130049"", ""selected_recommendation_title"": ""Real Madrid's Ferland Mendy: 629 days out, winner of finals and an uncertain future"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [17, 50], ""recommendations_labels"": {""17"": ""Focuses on solutions and constructive ways forward"", ""50"": """"}, ""recommendations_stable_ids"": [""142917"", ""130049""], ""recommendations_titles"": [""Born with cerebral palsy, a Haverford woman shares her story of resilience in new book"", ""Real Madrid's Ferland Mendy: 629 days out, winner of finals and an uncertain future""], ""ratings"": {""likelihood_17"": ""5"", ""preference_fit_17"": ""5"", ""constructive_17"": ""4"", ""understandable_17"": ""5"", ""trustworthy_17"": ""5"", ""relevant_17"": ""5"", ""likelihood_50"": ""5"", ""preference_fit_50"": ""5"", ""constructive_50"": ""5"", ""understandable_50"": ""5"", ""trustworthy_50"": ""5"", ""relevant_50"": ""4"", ""label_understandable"": ""4"", ""label_useful"": ""5"", ""label_influenced"": ""4"", ""label_attention"": ""4"", ""label_more"": ""4"", ""rb_attention_check"": ""1"", ""low_preference_fit"": ""5"", ""high_preference_fit"": ""5"", ""low_constructive"": ""4"", ""high_constructive"": ""5"", ""low_understandable"": ""5"", ""high_understandable"": ""5"", ""low_trustworthy"": ""5"", ""high_trustworthy"": ""5"", ""low_relevant"": ""5"", ""high_relevant"": ""4""}}",142537,"The Ashes 2025-26: Insight, analysis and a new signing for The Athletic","Sports",142917,"Born with cerebral palsy, a Haverford woman shares her story of resilience in new book",5,5,4,5,5,5,130049,"Real Madrid's Ferland Mendy: 629 days out, winner of finals and an uncertain future",5,5,5,5,5,4,"Entertainment","Sports","Focuses on solutions and constructive ways forward","",4,5,4,4,4,1,130049,"Real Madrid's Ferland Mendy: 629 days out, winner of finals and an uncertain future",1,0,5,4,5,5,5,5,5,5,5,4
